mainPlayGame;Play game
mainHowtoPlay;How to Play
mainSettings;Settings
mainExitGame;Exit Game
settingsToggleSound;  Toggle Sound  
settingsChangeLanguage; Change Language
settingsReturnToMainMenu;Return to Main Menu
ingameExit; Exit
ingameRetry;Retry
ingameLife;Life:
ingameScore;Score:
endSceneHighscore;The highscore is: 
endSceneMyScore;Your score is: 
endSceneMotivationalL;Great job, try again and see if you can beat the highscore next time
endSceneMotivationalW;You are an amazing player you beat the highscore good job
