Event	ID	Name			Wwise Object Path	Notes
	251180667	playRiverAmbience			\Default Work Unit\playRiverAmbience	
	413545259	playMenuMusic			\Default Work Unit\musicEvents\playMenuMusic	
	1148261388	playLevelMusic			\Default Work Unit\musicEvents\playLevelMusic	
	1477059561	playForestSoundscape			\Default Work Unit\playForestSoundscape	
	1747696776	auntieFootsteps			\Default Work Unit\auntieFootsteps	
	1813615719	stopAuntieHappyVoice			\Default Work Unit\stopEvents\stopAuntieHappyVoice	
	1919802259	trollFallsIntoWater			\Default Work Unit\trollFallsIntoWater	
	2867536338	dressPickup			\Default Work Unit\dressPickup	
	2907867019	stopAllMusic			\Default Work Unit\musicEvents\stopAllMusic	
	3139869105	menuBackwardClick			\Default Work Unit\menuBackwardClick	
	3227179805	trollCatchAuntie			\Default Work Unit\trollCatchAuntie	
	3284803258	stopAllSoundscapes			\Default Work Unit\stopEvents\stopAllSoundscapes	
	3889299310	playLakeAmbience			\Default Work Unit\playLakeAmbience	
	4028748541	menuForwardClick			\Default Work Unit\menuForwardClick	
	4032712899	trollFootsteps			\Default Work Unit\trollFootsteps	
	4228143387	trollThrowsAuntie			\Default Work Unit\trollThrowsAuntie	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	3617496	Throw_7	C:\Users\student\DADIU_MINI_2\MP2_LevelDesign\Wwise project\.cache\Android\SFX\Throw_7_CDFE0F68.wem		\Actor-Mixer Hierarchy\Default Work Unit\Troll\Throwing\Throw_7		9577
	42406669	Uoohh	C:\Users\student\DADIU_MINI_2\MP2_LevelDesign\Wwise project\.cache\Android\SFX\Uoohh_523312EE.wem		\Actor-Mixer Hierarchy\Default Work Unit\Auntie\Surprised\Uoohh		6943
	53723177	clothes_pickup	C:\Users\student\DADIU_MINI_2\MP2_LevelDesign\Wwise project\.cache\Android\SFX\clothes_pickup_A296EAD0.wem		\Actor-Mixer Hierarchy\Default Work Unit\Items\Clothes\clothes_pickup		10857
	68472481	Uhhuhh	C:\Users\student\DADIU_MINI_2\MP2_LevelDesign\Wwise project\.cache\Android\SFX\Uhhuhh_41CEA8EC.wem		\Actor-Mixer Hierarchy\Default Work Unit\Auntie\Surprised\Uhhuhh		6710
	140875607	Throw_5	C:\Users\student\DADIU_MINI_2\MP2_LevelDesign\Wwise project\.cache\Android\SFX\Throw_5_CDFE0F68.wem		\Actor-Mixer Hierarchy\Default Work Unit\Troll\Throwing\Throw_5		12282
	205310487	footstep_branch_1	C:\Users\student\DADIU_MINI_2\MP2_LevelDesign\Wwise project\.cache\Android\SFX\footstep_branch_1_414C7702.wem		\Actor-Mixer Hierarchy\Default Work Unit\Troll\Footsteps\forest_surface\branches\footstep_branch_1		9262
	208407703	music_notroll_comp	C:\Users\student\DADIU_MINI_2\MP2_LevelDesign\Wwise project\.cache\Android\SFX\music_notroll_comp_37B59102.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music\music_notroll_comp		58566
	216424462	footstep_branch_5	C:\Users\student\DADIU_MINI_2\MP2_LevelDesign\Wwise project\.cache\Android\SFX\footstep_branch_5_5E7FFB93.wem		\Actor-Mixer Hierarchy\Default Work Unit\Troll\Footsteps\forest_surface\branches\footstep_branch_5		11899
	294334297	Troll_falling_short_3	C:\Users\student\DADIU_MINI_2\MP2_LevelDesign\Wwise project\.cache\Android\SFX\Troll_falling_short_3_CDFE0F68.wem		\Actor-Mixer Hierarchy\Default Work Unit\Troll\Troll_falling_shorts\Troll_falling_short_3		13573
	330978246	bridge_breaking	C:\Users\student\DADIU_MINI_2\MP2_LevelDesign\Wwise project\.cache\Android\SFX\bridge_breaking_19E6728E.wem		\Actor-Mixer Hierarchy\Default Work Unit\Items\bridge_breaking		44254
	341112838	Troll_catching_auntie_5	C:\Users\student\DADIU_MINI_2\MP2_LevelDesign\Wwise project\.cache\Android\SFX\Troll_catching_auntie_5_CDFE0F68.wem		\Actor-Mixer Hierarchy\Default Work Unit\Troll\Catching_auntie\Troll_catching_auntie_5		11120
